Reaction,Dataset,Reference,Reference_in_kcal_mol,Stoichiometry
ISOC7_0246_C6H10_45,ISOC7,0.04288349596661875,26.9098,"1,C6H10_45,-1,C6H10_76"
ISOC7_0247_C6H10_46,ISOC7,0.04224079650681833,26.5065,"1,C6H10_46,-1,C6H10_76"
ISOC7_0248_C6H10_47,ISOC7,0.04160255913104330,26.106,"1,C6H10_47,-1,C6H10_76"
ISOC7_0249_C6H10_48,ISOC7,0.04107029625087137,25.772,"1,C6H10_48,-1,C6H10_76"
ISOC7_0250_C6H10_49,ISOC7,0.04095205102419844,25.6978,"1,C6H10_49,-1,C6H10_76"
ISOC7_0251_C6H10_50,ISOC7,0.04051269510784095,25.4221,"1,C6H10_50,-1,C6H10_76"
ISOC7_0252_C6H10_51,ISOC7,0.04014776037862127,25.1931,"1,C6H10_51,-1,C6H10_76"
ISOC7_0253_C6H10_52,ISOC7,0.03953263022369203,24.8071,"1,C6H10_52,-1,C6H10_76"
ISOC7_0254_C6H10_53,ISOC7,0.03908626246100893,24.527,"1,C6H10_53,-1,C6H10_76"
ISOC7_0255_C6H10_54,ISOC7,0.03906697988361348,24.5149,"1,C6H10_54,-1,C6H10_76"
ISOC7_0256_C6H10_55,ISOC7,0.03886124593801409,24.3858,"1,C6H10_55,-1,C6H10_76"
ISOC7_0257_C6H10_56,ISOC7,0.03842332426295047,24.111,"1,C6H10_56,-1,C6H10_76"
ISOC7_0258_C6H10_57,ISOC7,0.03824866554538507,24.0014,"1,C6H10_57,-1,C6H10_76"
ISOC7_0259_C6H10_58,ISOC7,0.03799576099723152,23.8427,"1,C6H10_58,-1,C6H10_76"
ISOC7_0260_C6H10_59,ISOC7,0.03688597695605867,23.1463,"1,C6H10_59,-1,C6H10_76"
ISOC7_0261_C6H10_60,ISOC7,0.03584328353541048,22.492,"1,C6H10_60,-1,C6H10_76"
ISOC7_0262_C6H10_61,ISOC7,0.03403422718340096,21.3568,"1,C6H10_61,-1,C6H10_76"
ISOC7_0263_C6H10_62,ISOC7,0.03344682569348667,20.9882,"1,C6H10_62,-1,C6H10_76"
ISOC7_0264_C6H10_63,ISOC7,0.03155442398628856,19.8007,"1,C6H10_63,-1,C6H10_76"
ISOC7_0265_C6H10_64,ISOC7,0.02717504787550866,17.0526,"1,C6H10_64,-1,C6H10_76"
ISOC7_0266_C6H10_65,ISOC7,0.02707496970522483,16.9898,"1,C6H10_65,-1,C6H10_76"
ISOC7_0267_C6H10_66,ISOC7,0.02418035205389460,15.1734,"1,C6H10_66,-1,C6H10_76"
ISOC7_0268_C6H10_67,ISOC7,0.02324841393316243,14.5886,"1,C6H10_67,-1,C6H10_76"
ISOC7_0269_C6H10_68,ISOC7,0.02296347799611230,14.4098,"1,C6H10_68,-1,C6H10_76"
ISOC7_0270_C6H10_69,ISOC7,0.02251758831386049,14.13,"1,C6H10_69,-1,C6H10_76"
ISOC7_0271_C6H10_70,ISOC7,0.02207026439031479,13.8493,"1,C6H10_70,-1,C6H10_76"
ISOC7_0272_C6H10_71,ISOC7,0.01514654422419804,9.5046,"1,C6H10_71,-1,C6H10_76"
ISOC7_0273_C6H10_72,ISOC7,0.007137581479048105,4.4789,"1,C6H10_72,-1,C6H10_76"
ISOC7_0274_C6H10_73,ISOC7,0.005142392479122180,3.2269,"1,C6H10_73,-1,C6H10_76"
ISOC7_0275_C6H10_74,ISOC7,0.005134583832077741,3.222,"1,C6H10_74,-1,C6H10_76"
ISOC7_0276_C6H10_75,ISOC7,0.001503084875982534,0.9432,"1,C6H10_75,-1,C6H10_76"
ISOC7_0277_C6H10_76,ISOC7,0e-42,0,"1,C6H10_76,-1,C6H10_76"
ISOC7_0278_C6H12_1,ISOC7,0.04554241996532195,28.5783,"1,C6H12_1,-1,C6H12_26"
ISOC7_0279_C6H12_2,ISOC7,0.04202326991058040,26.37,"1,C6H12_2,-1,C6H12_26"
ISOC7_0280_C6H12_3,ISOC7,0.04199251340283393,26.3507,"1,C6H12_3,-1,C6H12_26"
ISOC7_0281_C6H12_4,ISOC7,0.03937231391906540,24.7065,"1,C6H12_4,-1,C6H12_26"
ISOC7_0282_C6H12_5,ISOC7,0.03934331037290034,24.6883,"1,C6H12_5,-1,C6H12_26"
ISOC7_0283_C6H12_6,ISOC7,0.03828834622118232,24.0263,"1,C6H12_6,-1,C6H12_26"
ISOC7_0284_C6H12_7,ISOC7,0.03820834742901277,23.9761,"1,C6H12_7,-1,C6H12_26"
ISOC7_0285_C6H12_8,ISOC7,0.03731226534062750,23.4138,"1,C6H12_8,-1,C6H12_26"
ISOC7_0286_C6H12_9,ISOC7,0.03493413391523656,21.9215,"1,C6H12_9,-1,C6H12_26"
ISOC7_0287_C6H12_10,ISOC7,0.03461796339000868,21.7231,"1,C6H12_10,-1,C6H12_26"
ISOC7_0288_C6H12_11,ISOC7,0.03442131297260384,21.5997,"1,C6H12_11,-1,C6H12_26"
ISOC7_0289_C6H12_12,ISOC7,0.03377956967366601,21.197,"1,C6H12_12,-1,C6H12_26"
ISOC7_0290_C6H12_13,ISOC7,0.03172111469666576,19.9053,"1,C6H12_13,-1,C6H12_26"
ISOC7_0291_C6H12_14,ISOC7,0.03137402830354765,19.6875,"1,C6H12_14,-1,C6H12_26"
ISOC7_0292_C6H12_15,ISOC7,0.03070200657729465,19.2658,"1,C6H12_15,-1,C6H12_26"
ISOC7_0293_C6H12_16,ISOC7,0.03021436453737665,18.9598,"1,C6H12_16,-1,C6H12_26"
ISOC7_0294_C6H12_17,ISOC7,0.02931748564827257,18.397,"1,C6H12_17,-1,C6H12_26"
ISOC7_0295_C6H12_18,ISOC7,0.02900992057080795,18.204,"1,C6H12_18,-1,C6H12_26"
ISOC7_0296_C6H12_19,ISOC7,0.02869486556658642,18.0063,"1,C6H12_19,-1,C6H12_26"
ISOC7_0297_C6H12_20,ISOC7,0.02830299897307061,17.7604,"1,C6H12_20,-1,C6H12_26"
ISOC7_0298_C6H12_21,ISOC7,0.02796037466397790,17.5454,"1,C6H12_21,-1,C6H12_26"
ISOC7_0299_C6H12_22,ISOC7,0.02792579351278110,17.5237,"1,C6H12_22,-1,C6H12_26"
ISOC7_0300_C6H12_23,ISOC7,0.02737137957262597,17.1758,"1,C6H12_23,-1,C6H12_26"
ISOC7_0301_C6H12_24,ISOC7,0.02690302011010342,16.8819,"1,C6H12_24,-1,C6H12_26"
ISOC7_0302_C6H12_25,ISOC7,0.007337100379040698,4.6041,"1,C6H12_25,-1,C6H12_26"
ISOC7_0303_C6H12_26,ISOC7,0e-42,0,"1,C6H12_26,-1,C6H12_26"
ISOC7_0304_C7H8_1,ISOC7,0.2277761626044029,142.9317,"1,C7H8_1,-1,C7H8_320"
ISOC7_0305_C7H8_2,ISOC7,0.2176639646818550,136.5862,"1,C7H8_2,-1,C7H8_320"
ISOC7_0306_C7H8_3,ISOC7,0.2144520609842905,134.5707,"1,C7H8_3,-1,C7H8_320"
ISOC7_0307_C7H8_4,ISOC7,0.2142686374588181,134.4556,"1,C7H8_4,-1,C7H8_320"
ISOC7_0308_C7H8_5,ISOC7,0.2135119954962264,133.9808,"1,C7H8_5,-1,C7H8_320"
ISOC7_0309_C7H8_6,ISOC7,0.2100785811988299,131.8263,"1,C7H8_6,-1,C7H8_320"
ISOC7_0310_C7H8_7,ISOC7,0.2098510149135348,131.6835,"1,C7H8_7,-1,C7H8_320"
ISOC7_0311_C7H8_8,ISOC7,0.2096494243316733,131.557,"1,C7H8_8,-1,C7H8_320"
ISOC7_0312_C7H8_9,ISOC7,0.2079299283804592,130.478,"1,C7H8_9,-1,C7H8_320"
ISOC7_0313_C7H8_10,ISOC7,0.2066834133359368,129.6958,"1,C7H8_10,-1,C7H8_320"
ISOC7_0314_C7H8_11,ISOC7,0.2063908281119860,129.5122,"1,C7H8_11,-1,C7H8_320"
ISOC7_0315_C7H8_12,ISOC7,0.2026796490840088,127.1834,"1,C7H8_12,-1,C7H8_320"
ISOC7_0316_C7H8_13,ISOC7,0.2018938442151082,126.6903,"1,C7H8_13,-1,C7H8_320"
ISOC7_0317_C7H8_14,ISOC7,0.1990644048625775,124.9148,"1,C7H8_14,-1,C7H8_320"
ISOC7_0318_C7H8_15,ISOC7,0.1983063286586919,124.4391,"1,C7H8_15,-1,C7H8_320"
ISOC7_0319_C7H8_16,ISOC7,0.1972446713809358,123.7729,"1,C7H8_16,-1,C7H8_320"
ISOC7_0320_C7H8_17,ISOC7,0.1969179830862195,123.5679,"1,C7H8_17,-1,C7H8_320"
ISOC7_0321_C7H8_18,ISOC7,0.1945905281865455,122.1074,"1,C7H8_18,-1,C7H8_320"
ISOC7_0322_C7H8_19,ISOC7,0.1942040798379177,121.8649,"1,C7H8_19,-1,C7H8_320"
ISOC7_0323_C7H8_20,ISOC7,0.1941503754694692,121.8312,"1,C7H8_20,-1,C7H8_320"
ISOC7_0324_C7H8_21,ISOC7,0.1937706202468795,121.5929,"1,C7H8_21,-1,C7H8_320"
ISOC7_0325_C7H8_22,ISOC7,0.1925293640871013,120.814,"1,C7H8_22,-1,C7H8_320"
ISOC7_0326_C7H8_23,ISOC7,0.1922947859554806,120.6668,"1,C7H8_23,-1,C7H8_320"
ISOC7_0327_C7H8_24,ISOC7,0.1920895300903125,120.538,"1,C7H8_24,-1,C7H8_320"
ISOC7_0328_C7H8_25,ISOC7,0.1916202144669273,120.2435,"1,C7H8_25,-1,C7H8_320"
ISOC7_0329_C7H8_26,ISOC7,0.1907085150844532,119.6714,"1,C7H8_26,-1,C7H8_320"
ISOC7_0330_C7H8_27,ISOC7,0.1903155329699310,119.4248,"1,C7H8_27,-1,C7H8_320"
ISOC7_0331_C7H8_28,ISOC7,0.1881326177206511,118.055,"1,C7H8_28,-1,C7H8_320"
ISOC7_0332_C7H8_29,ISOC7,0.1879056888759311,117.9126,"1,C7H8_29,-1,C7H8_320"
ISOC7_0333_C7H8_30,ISOC7,0.1873186061063043,117.5442,"1,C7H8_30,-1,C7H8_320"
ISOC7_0334_C7H8_31,ISOC7,0.1856397469917500,116.4907,"1,C7H8_31,-1,C7H8_320"
ISOC7_0335_C7H8_32,ISOC7,0.1852609479300229,116.253,"1,C7H8_32,-1,C7H8_320"
ISOC7_0336_C7H8_33,ISOC7,0.1842869387313370,115.6418,"1,C7H8_33,-1,C7H8_320"
ISOC7_0337_C7H8_34,ISOC7,0.1841232758636913,115.5391,"1,C7H8_34,-1,C7H8_320"
ISOC7_0338_C7H8_35,ISOC7,0.1837486201657020,115.304,"1,C7H8_35,-1,C7H8_320"
ISOC7_0339_C7H8_36,ISOC7,0.1825491163635900,114.5513,"1,C7H8_36,-1,C7H8_320"
ISOC7_0340_C7H8_37,ISOC7,0.1822217906282986,114.3459,"1,C7H8_37,-1,C7H8_320"
ISOC7_0341_C7H8_38,ISOC7,0.1821253777413214,114.2854,"1,C7H8_38,-1,C7H8_320"
ISOC7_0342_C7H8_39,ISOC7,0.1809900960771463,113.573,"1,C7H8_39,-1,C7H8_320"
ISOC7_0343_C7H8_40,ISOC7,0.1808168716008748,113.4643,"1,C7H8_40,-1,C7H8_320"
ISOC7_0344_C7H8_41,ISOC7,0.1804446063050419,113.2307,"1,C7H8_41,-1,C7H8_320"
ISOC7_0345_C7H8_42,ISOC7,0.1802928954481786,113.1355,"1,C7H8_42,-1,C7H8_320"
ISOC7_0346_C7H8_43,ISOC7,0.1795439027724875,112.6655,"1,C7H8_43,-1,C7H8_320"
ISOC7_0347_C7H8_44,ISOC7,0.1780985062685476,111.7585,"1,C7H8_44,-1,C7H8_320"
ISOC7_0348_C7H8_45,ISOC7,0.1778140484119287,111.58,"1,C7H8_45,-1,C7H8_320"
ISOC7_0349_C7H8_46,ISOC7,0.1750948862788827,109.8737,"1,C7H8_46,-1,C7H8_320"
ISOC7_0350_C7H8_47,ISOC7,0.1734203298882101,108.8229,"1,C7H8_47,-1,C7H8_320"
ISOC7_0351_C7H8_48,ISOC7,0.1725122957890425,108.2531,"1,C7H8_48,-1,C7H8_320"
ISOC7_0352_C7H8_49,ISOC7,0.1723632940546231,108.1596,"1,C7H8_49,-1,C7H8_320"
ISOC7_0353_C7H8_50,ISOC7,0.1717908724182226,107.8004,"1,C7H8_50,-1,C7H8_320"
ISOC7_0354_C7H8_51,ISOC7,0.1714864945436333,107.6094,"1,C7H8_51,-1,C7H8_320"
ISOC7_0355_C7H8_52,ISOC7,0.1708082577717735,107.1838,"1,C7H8_52,-1,C7H8_320"
ISOC7_0356_C7H8_53,ISOC7,0.1706990960732951,107.1153,"1,C7H8_53,-1,C7H8_320"
ISOC7_0357_C7H8_54,ISOC7,0.1704618088192304,106.9664,"1,C7H8_54,-1,C7H8_320"
ISOC7_0358_C7H8_55,ISOC7,0.1697274772767657,106.5056,"1,C7H8_55,-1,C7H8_320"
ISOC7_0359_C7H8_56,ISOC7,0.1696124192529681,106.4334,"1,C7H8_56,-1,C7H8_320"
ISOC7_0360_C7H8_57,ISOC7,0.1686388881347135,105.8225,"1,C7H8_57,-1,C7H8_320"
ISOC7_0361_C7H8_58,ISOC7,0.1679874238670060,105.4137,"1,C7H8_58,-1,C7H8_320"
ISOC7_0362_C7H8_59,ISOC7,0.1670491113405233,104.8249,"1,C7H8_59,-1,C7H8_320"
ISOC7_0363_C7H8_60,ISOC7,0.1659523948311391,104.1367,"1,C7H8_60,-1,C7H8_320"
ISOC7_0364_C7H8_61,ISOC7,0.1654304903603118,103.8092,"1,C7H8_61,-1,C7H8_320"
ISOC7_0365_C7H8_62,ISOC7,0.1651828446969025,103.6538,"1,C7H8_62,-1,C7H8_320"
ISOC7_0366_C7H8_63,ISOC7,0.1651621278782131,103.6408,"1,C7H8_63,-1,C7H8_320"
ISOC7_0367_C7H8_64,ISOC7,0.1650732049179928,103.585,"1,C7H8_64,-1,C7H8_320"
ISOC7_0368_C7H8_65,ISOC7,0.1649991024511425,103.5385,"1,C7H8_65,-1,C7H8_320"
ISOC7_0369_C7H8_66,ISOC7,0.1648357583037844,103.436,"1,C7H8_66,-1,C7H8_320"
ISOC7_0370_C7H8_67,ISOC7,0.1645925747244004,103.2834,"1,C7H8_67,-1,C7H8_320"
ISOC7_0371_C7H8_68,ISOC7,0.1644217406502854,103.1762,"1,C7H8_68,-1,C7H8_320"
ISOC7_0372_C7H8_69,ISOC7,0.1644054859156214,103.166,"1,C7H8_69,-1,C7H8_320"
ISOC7_0373_C7H8_70,ISOC7,0.1642078793373540,103.042,"1,C7H8_70,-1,C7H8_320"
ISOC7_0374_C7H8_71,ISOC7,0.1641964054070030,103.0348,"1,C7H8_71,-1,C7H8_320"
ISOC7_0375_C7H8_72,ISOC7,0.1641046139641949,102.9772,"1,C7H8_72,-1,C7H8_320"
ISOC7_0376_C7H8_73,ISOC7,0.1639607117543760,102.8869,"1,C7H8_73,-1,C7H8_320"
ISOC7_0377_C7H8_74,ISOC7,0.1635696419615790,102.6415,"1,C7H8_74,-1,C7H8_320"
ISOC7_0378_C7H8_75,ISOC7,0.1633205620568758,102.4852,"1,C7H8_75,-1,C7H8_320"
ISOC7_0379_C7H8_76,ISOC7,0.1629884555172715,102.2768,"1,C7H8_76,-1,C7H8_320"
ISOC7_0380_C7H8_77,ISOC7,0.1629704478210261,102.2655,"1,C7H8_77,-1,C7H8_320"
ISOC7_0381_C7H8_78,ISOC7,0.1627516463436381,102.1282,"1,C7H8_78,-1,C7H8_320"
ISOC7_0382_C7H8_79,ISOC7,0.1626537992153670,102.0668,"1,C7H8_79,-1,C7H8_320"
ISOC7_0383_C7H8_80,ISOC7,0.1626447156871724,102.0611,"1,C7H8_80,-1,C7H8_320"
ISOC7_0384_C7H8_81,ISOC7,0.1623114936265618,101.852,"1,C7H8_81,-1,C7H8_320"
ISOC7_0385_C7H8_82,ISOC7,0.1622941233708915,101.8411,"1,C7H8_82,-1,C7H8_320"
ISOC7_0386_C7H8_83,ISOC7,0.1622697412688956,101.8258,"1,C7H8_83,-1,C7H8_320"
ISOC7_0387_C7H8_84,ISOC7,0.1619368379285725,101.6169,"1,C7H8_84,-1,C7H8_320"
ISOC7_0388_C7H8_85,ISOC7,0.1618858426825680,101.5849,"1,C7H8_85,-1,C7H8_320"
ISOC7_0389_C7H8_86,ISOC7,0.1617762029036583,101.5161,"1,C7H8_86,-1,C7H8_320"
ISOC7_0390_C7H8_87,ISOC7,0.1614391561995974,101.3046,"1,C7H8_87,-1,C7H8_320"
ISOC7_0391_C7H8_88,ISOC7,0.1613056123991231,101.2208,"1,C7H8_88,-1,C7H8_320"
ISOC7_0392_C7H8_89,ISOC7,0.1609217138127955,100.9799,"1,C7H8_89,-1,C7H8_320"
ISOC7_0393_C7H8_90,ISOC7,0.1607612381480251,100.8792,"1,C7H8_90,-1,C7H8_320"
ISOC7_0394_C7H8_91,ISOC7,0.1602618034574686,100.5658,"1,C7H8_91,-1,C7H8_320"
ISOC7_0395_C7H8_92,ISOC7,0.1599566287821604,100.3743,"1,C7H8_92,-1,C7H8_320"
ISOC7_0396_C7H8_93,ISOC7,0.1598425269192253,100.3027,"1,C7H8_93,-1,C7H8_320"
ISOC7_0397_C7H8_94,ISOC7,0.1598084238484598,100.2813,"1,C7H8_94,-1,C7H8_320"
ISOC7_0398_C7H8_95,ISOC7,0.1593144074027913,99.9713,"1,C7H8_95,-1,C7H8_320"
ISOC7_0399_C7H8_96,ISOC7,0.1591856444066299,99.8905,"1,C7H8_96,-1,C7H8_320"
ISOC7_0400_C7H8_97,ISOC7,0.1588149727122347,99.6579,"1,C7H8_97,-1,C7H8_320"
ISOC7_0401_C7H8_98,ISOC7,0.1588009490195835,99.6491,"1,C7H8_98,-1,C7H8_320"
ISOC7_0402_C7H8_99,ISOC7,0.1582932276015512,99.3305,"1,C7H8_99,-1,C7H8_320"
ISOC7_0403_C7H8_100,ISOC7,0.1578199279745720,99.0335,"1,C7H8_100,-1,C7H8_320"
ISOC7_0404_C7H8_101,ISOC7,0.1574365074686757,98.7929,"1,C7H8_101,-1,C7H8_320"
ISOC7_0405_C7H8_102,ISOC7,0.1570312546230837,98.5386,"1,C7H8_102,-1,C7H8_320"
ISOC7_0406_C7H8_103,ISOC7,0.1567281516296445,98.3484,"1,C7H8_103,-1,C7H8_320"
ISOC7_0407_C7H8_104,ISOC7,0.1566550053236568,98.3025,"1,C7H8_104,-1,C7H8_320"
ISOC7_0408_C7H8_105,ISOC7,0.1564988323827680,98.2045,"1,C7H8_105,-1,C7H8_320"
ISOC7_0409_C7H8_106,ISOC7,0.1564787530046537,98.1919,"1,C7H8_106,-1,C7H8_320"
ISOC7_0410_C7H8_107,ISOC7,0.1562918235560185,98.0746,"1,C7H8_107,-1,C7H8_320"
ISOC7_0411_C7H8_108,ISOC7,0.1559691192648963,97.8721,"1,C7H8_108,-1,C7H8_320"
ISOC7_0412_C7H8_109,ISOC7,0.1556132680638712,97.6488,"1,C7H8_109,-1,C7H8_320"
ISOC7_0413_C7H8_110,ISOC7,0.1556129493435837,97.6486,"1,C7H8_110,-1,C7H8_320"
ISOC7_0414_C7H8_111,ISOC7,0.1555660974613170,97.6192,"1,C7H8_111,-1,C7H8_320"
ISOC7_0415_C7H8_112,ISOC7,0.1551402871571795,97.352,"1,C7H8_112,-1,C7H8_320"
ISOC7_0416_C7H8_113,ISOC7,0.1551347095521477,97.3485,"1,C7H8_113,-1,C7H8_320"
ISOC7_0417_C7H8_114,ISOC7,0.1546864294677395,97.0672,"1,C7H8_114,-1,C7H8_320"
ISOC7_0418_C7H8_115,ISOC7,0.1546405337463354,97.0384,"1,C7H8_115,-1,C7H8_320"
ISOC7_0419_C7H8_116,ISOC7,0.1537470014202504,96.4777,"1,C7H8_116,-1,C7H8_320"
ISOC7_0420_C7H8_117,ISOC7,0.1532316307153174,96.1543,"1,C7H8_117,-1,C7H8_320"
ISOC7_0421_C7H8_118,ISOC7,0.1526727546911369,95.8036,"1,C7H8_118,-1,C7H8_320"
ISOC7_0422_C7H8_119,ISOC7,0.1526010426264431,95.7586,"1,C7H8_119,-1,C7H8_320"
ISOC7_0423_C7H8_120,ISOC7,0.1525642304332336,95.7355,"1,C7H8_120,-1,C7H8_320"
ISOC7_0424_C7H8_121,ISOC7,0.1523489348790083,95.6004,"1,C7H8_121,-1,C7H8_320"
ISOC7_0425_C7H8_122,ISOC7,0.1522800912969023,95.5572,"1,C7H8_122,-1,C7H8_320"
ISOC7_0426_C7H8_123,ISOC7,0.1520485410080131,95.4119,"1,C7H8_123,-1,C7H8_320"
ISOC7_0427_C7H8_124,ISOC7,0.1516510968094656,95.1625,"1,C7H8_124,-1,C7H8_320"
ISOC7_0428_C7H8_125,ISOC7,0.1516458379247214,95.1592,"1,C7H8_125,-1,C7H8_320"
ISOC7_0429_C7H8_126,ISOC7,0.1516340452740828,95.1518,"1,C7H8_126,-1,C7H8_320"
ISOC7_0430_C7H8_127,ISOC7,0.1513024168149098,94.9437,"1,C7H8_127,-1,C7H8_320"
ISOC7_0431_C7H8_128,ISOC7,0.1510260863256230,94.7703,"1,C7H8_128,-1,C7H8_320"
ISOC7_0432_C7H8_129,ISOC7,0.1509311076799396,94.7107,"1,C7H8_129,-1,C7H8_320"
ISOC7_0433_C7H8_130,ISOC7,0.1509229803126076,94.7056,"1,C7H8_130,-1,C7H8_320"
ISOC7_0434_C7H8_131,ISOC7,0.1506554146312278,94.5377,"1,C7H8_131,-1,C7H8_320"
ISOC7_0435_C7H8_132,ISOC7,0.1505397191668551,94.4651,"1,C7H8_132,-1,C7H8_320"
ISOC7_0436_C7H8_133,ISOC7,0.1500936701244595,94.1852,"1,C7H8_133,-1,C7H8_320"
ISOC7_0437_C7H8_134,ISOC7,0.1499288917358075,94.0818,"1,C7H8_134,-1,C7H8_320"
ISOC7_0438_C7H8_135,ISOC7,0.1497201299474766,93.9508,"1,C7H8_135,-1,C7H8_320"
ISOC7_0439_C7H8_136,ISOC7,0.1496688159811845,93.9186,"1,C7H8_136,-1,C7H8_320"
ISOC7_0440_C7H8_137,ISOC7,0.1491099399570040,93.5679,"1,C7H8_137,-1,C7H8_320"
ISOC7_0441_C7H8_138,ISOC7,0.1486367996901685,93.271,"1,C7H8_138,-1,C7H8_320"
ISOC7_0442_C7H8_139,ISOC7,0.1484313844648567,93.1421,"1,C7H8_139,-1,C7H8_320"
ISOC7_0443_C7H8_140,ISOC7,0.1484011060375415,93.1231,"1,C7H8_140,-1,C7H8_320"
ISOC7_0444_C7H8_141,ISOC7,0.1479991997549686,92.8709,"1,C7H8_141,-1,C7H8_320"
ISOC7_0445_C7H8_142,ISOC7,0.1474905221760737,92.5517,"1,C7H8_142,-1,C7H8_320"
ISOC7_0446_C7H8_143,ISOC7,0.1472865411920557,92.4237,"1,C7H8_143,-1,C7H8_320"
ISOC7_0447_C7H8_144,ISOC7,0.1472350678656199,92.3914,"1,C7H8_144,-1,C7H8_320"
ISOC7_0448_C7H8_145,ISOC7,0.1470248718359951,92.2595,"1,C7H8_145,-1,C7H8_320"
ISOC7_0449_C7H8_146,ISOC7,0.1463887061420891,91.8603,"1,C7H8_146,-1,C7H8_320"
ISOC7_0450_C7H8_147,ISOC7,0.1458142128238196,91.4998,"1,C7H8_147,-1,C7H8_320"
ISOC7_0451_C7H8_148,ISOC7,0.1457526998083267,91.4612,"1,C7H8_148,-1,C7H8_320"
ISOC7_0452_C7H8_149,ISOC7,0.1457170031361236,91.4388,"1,C7H8_149,-1,C7H8_320"
ISOC7_0453_C7H8_150,ISOC7,0.1456664859705504,91.4071,"1,C7H8_150,-1,C7H8_320"
ISOC7_0454_C7H8_151,ISOC7,0.1445474590410392,90.7049,"1,C7H8_151,-1,C7H8_320"
ISOC7_0455_C7H8_152,ISOC7,0.1443997321877699,90.6122,"1,C7H8_152,-1,C7H8_320"
ISOC7_0456_C7H8_153,ISOC7,0.1436800617785315,90.1606,"1,C7H8_153,-1,C7H8_320"
ISOC7_0457_C7H8_154,ISOC7,0.1435930511400363,90.106,"1,C7H8_154,-1,C7H8_320"
ISOC7_0458_C7H8_155,ISOC7,0.1434706625496255,90.0292,"1,C7H8_155,-1,C7H8_320"
ISOC7_0459_C7H8_156,ISOC7,0.1433610227707158,89.9604,"1,C7H8_156,-1,C7H8_320"
ISOC7_0460_C7H8_157,ISOC7,0.1432024594276706,89.8609,"1,C7H8_157,-1,C7H8_320"
ISOC7_0461_C7H8_158,ISOC7,0.1426190419413504,89.4948,"1,C7H8_158,-1,C7H8_320"
ISOC7_0462_C7H8_159,ISOC7,0.1423911569357678,89.3518,"1,C7H8_159,-1,C7H8_320"
ISOC7_0463_C7H8_160,ISOC7,0.1420257441261169,89.1225,"1,C7H8_160,-1,C7H8_320"
ISOC7_0464_C7H8_161,ISOC7,0.1413977057995427,88.7284,"1,C7H8_161,-1,C7H8_320"
ISOC7_0465_C7H8_162,ISOC7,0.1409534097187285,88.4496,"1,C7H8_162,-1,C7H8_320"
ISOC7_0466_C7H8_163,ISOC7,0.1407317397587528,88.3105,"1,C7H8_163,-1,C7H8_320"
ISOC7_0467_C7H8_164,ISOC7,0.1407150069436575,88.3,"1,C7H8_164,-1,C7H8_320"
ISOC7_0468_C7H8_165,ISOC7,0.1406095105284857,88.2338,"1,C7H8_165,-1,C7H8_320"
ISOC7_0469_C7H8_166,ISOC7,0.1404209874784129,88.1155,"1,C7H8_166,-1,C7H8_320"
ISOC7_0470_C7H8_167,ISOC7,0.1400064917444826,87.8554,"1,C7H8_167,-1,C7H8_320"
ISOC7_0471_C7H8_168,ISOC7,0.1397247430103077,87.6786,"1,C7H8_168,-1,C7H8_320"
ISOC7_0472_C7H8_169,ISOC7,0.1395162999422643,87.5478,"1,C7H8_169,-1,C7H8_320"
ISOC7_0473_C7H8_170,ISOC7,0.1385483464290415,86.9404,"1,C7H8_170,-1,C7H8_320"
ISOC7_0474_C7H8_171,ISOC7,0.1381263607683543,86.6756,"1,C7H8_171,-1,C7H8_320"
ISOC7_0475_C7H8_172,ISOC7,0.1377236576850625,86.4229,"1,C7H8_172,-1,C7H8_320"
ISOC7_0476_C7H8_173,ISOC7,0.1376278822386603,86.3628,"1,C7H8_173,-1,C7H8_320"
ISOC7_0477_C7H8_174,ISOC7,0.1375281227886640,86.3002,"1,C7H8_174,-1,C7H8_320"
ISOC7_0478_C7H8_175,ISOC7,0.1371407182791736,86.0571,"1,C7H8_175,-1,C7H8_320"
ISOC7_0479_C7H8_176,ISOC7,0.1371209576213469,86.0447,"1,C7H8_176,-1,C7H8_320"
ISOC7_0480_C7H8_177,ISOC7,0.1370302816995451,85.9878,"1,C7H8_177,-1,C7H8_320"
ISOC7_0481_C7H8_178,ISOC7,0.1368948255773457,85.9028,"1,C7H8_178,-1,C7H8_320"
ISOC7_0482_C7H8_179,ISOC7,0.1368183327083389,85.8548,"1,C7H8_179,-1,C7H8_320"
ISOC7_0483_C7H8_180,ISOC7,0.1364736367173773,85.6385,"1,C7H8_180,-1,C7H8_320"
ISOC7_0484_C7H8_181,ISOC7,0.1359232067808163,85.2931,"1,C7H8_181,-1,C7H8_320"
ISOC7_0485_C7H8_182,ISOC7,0.1356253626721212,85.1062,"1,C7H8_182,-1,C7H8_320"
ISOC7_0486_C7H8_183,ISOC7,0.1355082329664547,85.0327,"1,C7H8_183,-1,C7H8_320"
ISOC7_0487_C7H8_184,ISOC7,0.1352084765360345,84.8446,"1,C7H8_184,-1,C7H8_320"
ISOC7_0488_C7H8_185,ISOC7,0.1348878439267812,84.6434,"1,C7H8_185,-1,C7H8_320"
ISOC7_0489_C7H8_186,ISOC7,0.1347425074756684,84.5522,"1,C7H8_186,-1,C7H8_320"
ISOC7_0490_C7H8_187,ISOC7,0.1345705578805470,84.4443,"1,C7H8_187,-1,C7H8_320"
