Reaction,Dataset,Reference,Reference_in_kcal_mol,TAE_in_kcal_mol,Number_of_atoms,Stoichiometry,Subset
TAE-PTComp_0363_plight_f_21,TAE-PTComp,0.116866363029008,73.33475,880.017,12,"-0.0833333333333333,plight_f_21,0.5,H,0.5,F",plight_f
TAE-PTComp_0364_plight_f_22,TAE-PTComp,0.151780506620328,95.2437058823529,1619.143,17,"-0.0588235294117647,plight_f_22,0.352941176470588,H,0.235294117647059,C,0.117647058823529,N,0.0588235294117647,O,0.235294117647059,F",plight_f
TAE-PTComp_0365_plight_f_23,TAE-PTComp,0.133441411581907,83.73575,334.943,4,"-0.25,plight_f_23,0.25,B,0.25,N,0.5,F",plight_f
TAE-PTComp_0366_plight_f_24,TAE-PTComp,0.139137695654046,87.3102222222222,1571.584,18,"-0.0555555555555556,plight_f_24,0.666666666666667,H,0.222222222222222,C,0.0555555555555556,N,0.0555555555555556,F",plight_f
TAE-PTComp_0367_plight_f_25,TAE-PTComp,0.16281817920366,102.16995,2043.399,20,"-0.05,plight_f_25,0.3,C,0.7,F",plight_f
TAE-PTComp_0368_plight_f_26,TAE-PTComp,0.107942194978221,67.73475,541.878,8,"-0.125,plight_f_26,0.125,C,0.25,N,0.125,O,0.5,F",plight_f
TAE-PTComp_0369_plight_f_27,TAE-PTComp,0.145397804768164,91.2385,364.954,4,"-0.25,plight_f_27,0.75,F,0.25,P",plight_f
TAE-PTComp_0370_plight_f_28,TAE-PTComp,0.112313842122028,70.478,422.868,6,"-0.166666666666667,plight_f_28,0.166666666666667,O,0.666666666666667,F,0.166666666666667,S",plight_f
TAE-PTComp_0371_plight_f_29,TAE-PTComp,0.159319772527631,99.9746666666667,299.924,3,"-0.333333333333333,plight_f_29,0.666666666666667,F,0.333333333333333,Si",plight_f
TAE-PTComp_0372_plight_f_30,TAE-PTComp,0.15541550212546,97.5247,975.247,10,"-0.1,plight_f_30,0.6,H,0.1,C_cation,0.2,C,0.1,F",plight_f
TAE-PTComp_0373_plight_f_31,TAE-PTComp,0.160303800984587,100.592153846154,1307.698,13,"-0.0769230769230769,plight_f_31,0.0769230769230769,C_cation,0.230769230769231,C,0.692307692307692,F",plight_f
TAE-PTComp_0374_plight_f_32,TAE-PTComp,0.151020827440879,94.767,758.136,8,"-0.125,plight_f_32,0.5,H,0.125,C_cation,0.125,C,0.125,O,0.125,F",plight_f
TAE-PTComp_0375_plight_f_33,TAE-PTComp,0.105926687559965,66.47,265.88,4,"-0.25,plight_f_33,0.25,H,0.5,F,0.25,S_cation",plight_f
TAE-PTComp_0376_plight_f_34,TAE-PTComp,0.103981165804846,65.2491666666667,391.495,6,"-0.166666666666667,plight_f_34,0.833333333333333,F,0.166666666666667,S_cation",plight_f
TAE-PTComp_0377_plight_ne_1,TAE-PTComp,0.146536964195838,91.9533333333333,1103.44,12,"-0.0833333333333333,plight_ne_1,0.416666666666667,H,0.0833333333333333,C_anion,0.333333333333333,C,0.166666666666667,Ne",plight_ne
TAE-PTComp_0378_plight_ne_2,TAE-PTComp,0.159792589245084,100.271363636364,1102.985,11,"-0.0909090909090909,plight_ne_2,0.454545454545455,H,0.0909090909090909,C_anion,0.363636363636364,C,0.0909090909090909,Ne",plight_ne
TAE-PTComp_0379_plight_ne_3,TAE-PTComp,0.0992516223381682,62.2813333333333,560.532,9,"-0.111111111111111,plight_ne_3,0.666666666666667,H,0.222222222222222,B,0.111111111111111,Ne",plight_ne
TAE-PTComp_0380_plight_ne_4,TAE-PTComp,0.0894163392254343,56.1096,280.548,5,"-0.2,plight_ne_4,0.6,H,0.2,B,0.2,Ne",plight_ne
TAE-PTComp_0381_plight_ne_5,TAE-PTComp,0.128014458800359,80.3302857142857,562.312,7,"-0.142857142857143,plight_ne_5,0.571428571428571,H,0.285714285714286,C,0.142857142857143,Ne",plight_ne
TAE-PTComp_0382_plight_ne_6,TAE-PTComp,0.103213979512742,64.76775,259.071,4,"-0.25,plight_ne_6,0.25,C,0.5,F,0.25,Ne",plight_ne
TAE-PTComp_0383_plight_ne_7,TAE-PTComp,0.13601671577184,85.3517777777778,2304.498,27,"-0.037037037037037,plight_ne_7,0.592592592592593,H,0.37037037037037,C,0.037037037037037,Ne",plight_ne
TAE-PTComp_0384_plight_ne_8,TAE-PTComp,0.131443197690363,82.4818518518519,2227.01,27,"-0.037037037037037,plight_ne_8,0.592592592592593,H,0.296296296296296,C,0.037037037037037,Ne,0.0740740740740741,Si",plight_ne
TAE-PTComp_0385_plight_ne_9,TAE-PTComp,0.103137517289916,64.7197692307692,841.357,13,"-0.0769230769230769,plight_ne_9,0.692307692307692,H,0.230769230769231,B,0.0769230769230769,Ne",plight_ne
TAE-PTComp_0386_plight_ne_10,TAE-PTComp,0.10510682649093,65.9555294117647,1121.244,17,"-0.0588235294117647,plight_ne_10,0.705882352941177,H,0.235294117647059,B,0.0588235294117647,Ne",plight_ne
TAE-PTComp_0387_plight_ne_11,TAE-PTComp,0.167322634639585,104.996538461538,1364.955,13,"-0.0769230769230769,plight_ne_11,0.461538461538462,H,0.461538461538462,C,0.0769230769230769,Ne",plight_ne
TAE-PTComp_0388_plight_ne_12,TAE-PTComp,0.0207088506821385,12.995,38.985,3,"-0.333333333333333,plight_ne_12,0.666666666666667,F,0.333333333333333,Ne",plight_ne
TAE-PTComp_0389_plight_ne_13,TAE-PTComp,0.0692365642205924,43.4466,217.233,5,"-0.2,plight_ne_13,0.4,H,0.2,Ne,0.4,Cl",plight_ne
TAE-PTComp_0390_plight_ne_14,TAE-PTComp,0.0755112105211582,47.384,142.152,3,"-0.333333333333333,plight_ne_14,0.333333333333333,H,0.333333333333333,F,0.333333333333333,Ne",plight_ne
TAE-PTComp_0391_plight_ne_15,TAE-PTComp,0.180982799060037,113.568421052632,2157.8,19,"-0.0526315789473684,plight_ne_15,0.421052631578947,H,0.526315789473684,C,0.0526315789473684,Ne",plight_ne
TAE-PTComp_0392_plight_ne_16,TAE-PTComp,0.0950497203074935,59.6446,298.223,5,"-0.2,plight_ne_16,0.6,H,0.2,N,0.2,Ne",plight_ne
TAE-PTComp_0393_plight_ne_17,TAE-PTComp,0.125527985242943,78.77,2126.79,27,"-0.037037037037037,plight_ne_17,0.592592592592593,H,0.148148148148148,C,0.037037037037037,Ne,0.222222222222222,Si",plight_ne
TAE-PTComp_0394_plight_ne_18,TAE-PTComp,0.127074097357742,79.7402,398.701,5,"-0.2,plight_ne_18,0.2,C_cation,0.6,F,0.2,Ne",plight_ne
TAE-PTComp_0395_plight_ne_19,TAE-PTComp,0.109426236317024,68.666,343.33,5,"-0.2,plight_ne_19,0.6,H,0.2,C_cation,0.2,Ne",plight_ne
TAE-PTComp_0396_plight_ne_20,TAE-PTComp,0.129499877466119,81.2624,406.312,5,"-0.2,plight_ne_20,0.4,H,0.2,O,0.2,Ne",plight_ne
TAE-PTComp_0397_plight_ne_21,TAE-PTComp,0.138061062949447,86.634625,693.077,8,"-0.125,plight_ne_21,0.375,H,0.125,C_cation,0.25,C,0.25,Ne",plight_ne
TAE-PTComp_0398_plight_ne_22,TAE-PTComp,0.157678666589993,98.9448571428571,692.614,7,"-0.142857142857143,plight_ne_22,0.428571428571429,H,0.142857142857143,C_cation,0.285714285714286,C,0.142857142857143,Ne",plight_ne
TAE-PTComp_0399_plight_ne_23,TAE-PTComp,0.0422352189017866,26.503,53.006,2,"-0.5,plight_ne_23,0.5,Ne",plight_ne
TAE-PTComp_0400_plight_ne_24,TAE-PTComp,0.135615482343208,85.1,510.6,6,"-0.166666666666667,plight_ne_24,0.5,H,0.166666666666667,N,0.166666666666667,Ne",plight_ne
TAE-PTComp_0401_plight_al_1,TAE-PTComp,0.130508875069702,81.8955555555555,737.06,9,"-0.111111111111111,plight_al_1,0.222222222222222,Al,0.111111111111111,Cl_anion,0.666666666666667,Cl",plight_al
TAE-PTComp_0402_plight_al_2,TAE-PTComp,0.087184341051875,54.709,164.127,3,"-0.333333333333333,plight_al_2,0.333333333333333,Al,0.333333333333333,Cl_anion,0.333333333333333,Cl",plight_al
TAE-PTComp_0403_plight_al_3,TAE-PTComp,0.07429423022328,46.6203333333333,139.861,3,"-0.333333333333333,plight_al_3,0.333333333333333,H_anion,0.333333333333333,H,0.333333333333333,Al",plight_al
TAE-PTComp_0404_plight_al_4,TAE-PTComp,0.148318458831554,93.0712380952381,1954.496,21,"-0.0476190476190476,plight_al_4,0.380952380952381,H,0.0952380952380952,C,0.0952380952380952,O,0.142857142857143,F,0.238095238095238,Al,0.0476190476190476,Cl_anion",plight_al
TAE-PTComp_0405_plight_al_5,TAE-PTComp,0.133872841228257,84.0064761904762,1764.136,21,"-0.0476190476190476,plight_al_5,0.380952380952381,H,0.0952380952380952,C,0.0952380952380952,O,0.142857142857143,F,0.19047619047619,Al,0.0476190476190476,P,0.0476190476190476,Cl_anion",plight_al
TAE-PTComp_0406_plight_al_6,TAE-PTComp,0.136018160264372,85.3526842105263,1621.701,19,"-0.0526315789473684,plight_al_6,0.368421052631579,H,0.105263157894737,C,0.105263157894737,O,0.105263157894737,F,0.210526315789474,Al,0.0526315789473684,P,0.0526315789473684,Cl_anion",plight_al
TAE-PTComp_0407_plight_al_7,TAE-PTComp,0.130610279027849,81.9591875,1311.347,16,"-0.0625,plight_al_7,0.375,H,0.0625,B,0.0625,C,0.125,N,0.0625,F,0.0625,Al,0.125,Si,0.0625,P,0.0625,S",plight_al
TAE-PTComp_0408_plight_al_8,TAE-PTComp,0.158590556854397,99.5170769230769,1293.722,13,"-0.0769230769230769,plight_al_8,0.307692307692308,H,0.230769230769231,C,0.153846153846154,N,0.0769230769230769,Al,0.230769230769231,Cl",plight_al
TAE-PTComp_0409_plight_al_9,TAE-PTComp,0.111876841194462,70.2037777777778,1263.668,18,"-0.0555555555555556,plight_al_9,0.444444444444444,H,0.166666666666667,Al,0.277777777777778,P,0.111111111111111,Cl",plight_al
TAE-PTComp_0410_plight_al_10,TAE-PTComp,0.149160106530261,93.59938,4679.969,50,"-0.02,plight_al_10,0.64,H,0.24,C,0.04,N,0.04,O,0.04,Al",plight_al
TAE-PTComp_0411_plight_al_11,TAE-PTComp,0.105071222388222,65.9331875,1054.931,16,"-0.0625,plight_al_11,0.75,Al,0.25,Cl",plight_al
TAE-PTComp_0412_plight_al_12,TAE-PTComp,0.105587250453748,66.257,530.056,8,"-0.125,plight_al_12,0.5,H,0.25,Al,0.25,Cl",plight_al
TAE-PTComp_0413_plight_al_13,TAE-PTComp,0.131315148863735,82.4015,659.212,8,"-0.125,plight_al_13,0.25,Al,0.75,Cl",plight_al
TAE-PTComp_0414_plight_al_14,TAE-PTComp,0.13412825380153,84.16675,1683.335,20,"-0.05,plight_al_14,0.7,H,0.2,C,0.1,Al",plight_al
TAE-PTComp_0415_plight_al_15,TAE-PTComp,0.153638068801979,96.40934375,3085.099,32,"-0.03125,plight_al_15,0.5625,H,0.1875,C,0.1875,O,0.0625,Al",plight_al
TAE-PTComp_0416_plight_al_16,TAE-PTComp,0.132254045710745,82.9906666666667,995.888,12,"-0.0833333333333333,plight_al_16,0.5,H,0.25,N,0.25,Al",plight_al
TAE-PTComp_0417_plight_al_17,TAE-PTComp,0.170988494094371,107.2969,1072.969,10,"-0.1,plight_al_17,0.6,O,0.4,Al",plight_al
TAE-PTComp_0418_plight_al_18,TAE-PTComp,0.103413149046265,64.8927307692308,1687.211,26,"-0.0384615384615385,plight_al_18,0.615384615384615,H,0.153846153846154,Al,0.230769230769231,P",plight_al
TAE-PTComp_0419_plight_al_19,TAE-PTComp,0.198747809376966,124.716133333333,1870.742,15,"-0.0666666666666667,plight_al_19,0.6,O,0.4,Al",plight_al
TAE-PTComp_0420_plight_al_20,TAE-PTComp,0.181670308914789,113.99984,2849.996,25,"-0.04,plight_al_20,0.36,H,0.36,C,0.24,O,0.04,Al",plight_al
TAE-PTComp_0421_plight_al_21,TAE-PTComp,0.153538717712351,96.347,2890.41,30,"-0.0333333333333333,plight_al_21,0.533333333333333,H,0.266666666666667,C,0.0666666666666667,O,0.0333333333333333,Al,0.1,Cl",plight_al
TAE-PTComp_0422_plight_al_22,TAE-PTComp,0.100350676129661,62.971,1007.536,16,"-0.0625,plight_al_22,0.75,O,0.0625,Al,0.1875,Cl",plight_al
TAE-PTComp_0423_plight_al_23,TAE-PTComp,0.153604852172013,96.3885,771.108,8,"-0.125,plight_al_23,0.375,H,0.125,N,0.375,F,0.125,Al",plight_al
TAE-PTComp_0424_plight_al_24,TAE-PTComp,0.112573067955884,70.6406666666667,635.766,9,"-0.111111111111111,plight_al_24,0.777777777777778,H,0.111111111111111,C,0.111111111111111,Al",plight_al
TAE-PTComp_0425_plight_al_25,TAE-PTComp,0.0938445990603138,58.888375,471.107,8,"-0.125,plight_al_25,0.75,H,0.125,Al,0.125,P",plight_al
TAE-PTComp_0426_plight_al_26,TAE-PTComp,0.153105713436009,96.0752857142857,672.527,7,"-0.142857142857143,plight_al_26,0.428571428571429,H,0.428571428571429,O,0.142857142857143,Al",plight_al
TAE-PTComp_0427_plight_al_27,TAE-PTComp,0.115790625144263,72.6597142857143,508.618,7,"-0.142857142857143,plight_al_27,0.428571428571429,H,0.142857142857143,Al,0.428571428571429,S",plight_al
TAE-PTComp_0428_plight_al_28,TAE-PTComp,0.123633491933858,77.5811875,1241.299,16,"-0.0625,plight_al_28,0.5,H,0.25,N,0.25,Al",plight_al
TAE-PTComp_0429_plight_al_29,TAE-PTComp,0.114959043441685,72.1378888888889,649.241,9,"-0.111111111111111,plight_al_29,0.666666666666667,H,0.111111111111111,C,0.111111111111111,F,0.111111111111111,Al",plight_al
TAE-PTComp_0430_plight_al_30,TAE-PTComp,0.158881996932699,99.6999583333333,2392.799,24,"-0.0416666666666667,plight_al_30,0.5,H,0.166666666666667,C,0.166666666666667,O,0.166666666666667,Al",plight_al
TAE-PTComp_0431_plight_al_31,TAE-PTComp,0.137310897206031,86.1638888888889,1550.95,18,"-0.0555555555555556,plight_al_31,0.333333333333333,H,0.0555555555555556,C,0.0555555555555556,N,0.111111111111111,O,0.0555555555555556,F,0.277777777777778,Al,0.0555555555555556,S,0.0555555555555556,Cl",plight_al
TAE-PTComp_0432_plight_al_32,TAE-PTComp,0.145702448242993,91.4296666666667,1645.734,18,"-0.0555555555555556,plight_al_32,0.333333333333333,H,0.0555555555555556,C,0.0555555555555556,N,0.111111111111111,O,0.0555555555555556,F,0.277777777777778,Al,0.0555555555555556,S,0.0555555555555556,Cl",plight_al
TAE-PTComp_0433_plight_al_33,TAE-PTComp,0.142499929087228,89.4200555555555,1609.561,18,"-0.0555555555555556,plight_al_33,0.333333333333333,H,0.111111111111111,C,0.111111111111111,O,0.111111111111111,F,0.222222222222222,Al,0.0555555555555556,P,0.0555555555555556,Cl",plight_al
TAE-PTComp_0434_plight_al_34,TAE-PTComp,0.112795109756196,70.78,212.34,3,"-0.333333333333333,plight_al_34,0.666666666666667,F,0.333333333333333,Al_cation",plight_al
TAE-PTComp_0435_plight_al_35,TAE-PTComp,0.0533325281130359,33.4666666666667,100.4,3,"-0.333333333333333,plight_al_35,0.666666666666667,H,0.333333333333333,Al_cation",plight_al
TAE-PTComp_0436_plight_al_36,TAE-PTComp,0.129230098449409,81.0931111111111,729.838,9,"-0.111111111111111,plight_al_36,0.666666666666667,H,0.222222222222222,C,0.111111111111111,Al_cation",plight_al
TAE-PTComp_0437_plight_si_1,TAE-PTComp,0.149477158848284,93.7983333333333,1969.765,21,"-0.0476190476190476,plight_si_1,0.619047619047619,H,0.285714285714286,C,0.0476190476190476,Si_anion,0.0476190476190476,Si",plight_si
TAE-PTComp_0438_plight_si_2,TAE-PTComp,0.104407530075197,65.5167142857143,458.617,7,"-0.142857142857143,plight_si_2,0.428571428571429,H,0.142857142857143,Si_anion,0.428571428571429,Si",plight_si
TAE-PTComp_0439_plight_si_3,TAE-PTComp,0.152918408352749,95.95775,383.831,4,"-0.25,plight_si_3,0.25,F_anion,0.5,F,0.25,Si",plight_si
TAE-PTComp_0440_plight_si_4,TAE-PTComp,0.134632230256184,84.483,844.83,10,"-0.1,plight_si_4,0.6,H,0.1,C,0.2,N,0.1,Si",plight_si
TAE-PTComp_0441_plight_si_5,TAE-PTComp,0.144608137312922,90.7429761904762,3811.205,42,"-0.0238095238095238,plight_si_5,0.571428571428571,H,0.19047619047619,C,0.0952380952380952,N,0.142857142857143,Si",plight_si
TAE-PTComp_0442_plight_si_6,TAE-PTComp,0.118000907652518,74.0466875,1184.747,16,"-0.0625,plight_si_6,0.5,H,0.5,Si",plight_si
TAE-PTComp_0443_plight_si_7,TAE-PTComp,0.190561049002328,119.578863636364,2630.735,22,"-0.0454545454545455,plight_si_7,0.272727272727273,H,0.454545454545455,O,0.272727272727273,Si",plight_si
TAE-PTComp_0444_plight_si_8,TAE-PTComp,0.155974196023762,97.8752857142857,1370.254,14,"-0.0714285714285714,plight_si_8,0.428571428571429,H,0.142857142857143,C,0.0714285714285714,N,0.0714285714285714,O,0.214285714285714,F,0.0714285714285714,Si",plight_si
TAE-PTComp_0445_plight_si_9,TAE-PTComp,0.139682273531995,87.65195,1753.039,20,"-0.05,plight_si_9,0.4,H,0.1,C,0.1,O,0.15,F,0.2,Si,0.05,Cl",plight_si
TAE-PTComp_0446_plight_si_10,TAE-PTComp,0.138777386795666,87.084125,696.673,8,"-0.125,plight_si_10,0.25,H,0.25,C,0.25,F,0.25,Si",plight_si
TAE-PTComp_0447_plight_si_11,TAE-PTComp,0.149956229244106,94.0989545454545,2070.177,22,"-0.0454545454545455,plight_si_11,0.363636363636364,H,0.0909090909090909,C,0.0909090909090909,O,0.136363636363636,F,0.272727272727273,Si,0.0454545454545455,Cl",plight_si
TAE-PTComp_0448_plight_si_12,TAE-PTComp,0.172589071964972,108.301277777778,1949.423,18,"-0.0555555555555556,plight_si_12,0.444444444444444,H,0.444444444444444,C,0.111111111111111,Si",plight_si
TAE-PTComp_0449_plight_si_13,TAE-PTComp,0.130004092960988,81.5788,815.788,10,"-0.1,plight_si_13,0.6,H,0.2,C,0.2,Si",plight_si
TAE-PTComp_0450_plight_si_14,TAE-PTComp,0.0860755928516366,54.01325,216.053,4,"-0.25,plight_si_14,0.5,H,0.5,Si",plight_si
TAE-PTComp_0451_plight_si_15,TAE-PTComp,0.144470083562005,90.6563461538462,2357.065,26,"-0.0384615384615385,plight_si_15,0.692307692307692,H,0.230769230769231,C,0.0769230769230769,Si",plight_si
TAE-PTComp_0452_plight_si_16,TAE-PTComp,0.175038127507679,109.838083333333,1318.057,12,"-0.0833333333333333,plight_si_16,0.333333333333333,H,0.5,O,0.166666666666667,Si",plight_si
TAE-PTComp_0453_plight_si_17,TAE-PTComp,0.178673144459675,112.119090909091,1233.31,11,"-0.0909090909090909,plight_si_17,0.727272727272727,F,0.272727272727273,Si",plight_si
TAE-PTComp_0454_plight_si_18,TAE-PTComp,0.175855967559765,110.351285714286,2317.377,21,"-0.0476190476190476,plight_si_18,0.476190476190476,H,0.476190476190476,C,0.0476190476190476,Si",plight_si
TAE-PTComp_0455_plight_si_19,TAE-PTComp,0.081688540893932,51.2603333333333,153.781,3,"-0.333333333333333,plight_si_19,0.666666666666667,H,0.333333333333333,Si",plight_si
TAE-PTComp_0456_plight_si_20,TAE-PTComp,0.122529624138023,76.8885,461.331,6,"-0.166666666666667,plight_si_20,0.666666666666667,H,0.166666666666667,C,0.166666666666667,Si",plight_si
TAE-PTComp_0457_plight_si_21,TAE-PTComp,0.109510241878522,68.7187142857143,481.031,7,"-0.142857142857143,plight_si_21,0.714285714285714,H,0.142857142857143,N,0.142857142857143,Si",plight_si
TAE-PTComp_0458_plight_si_22,TAE-PTComp,0.123937969408538,77.77225,933.267,12,"-0.0833333333333333,plight_si_22,0.666666666666667,H,0.166666666666667,O,0.166666666666667,Si",plight_si
TAE-PTComp_0459_plight_si_23,TAE-PTComp,0.123903751244335,77.7507777777778,699.757,9,"-0.111111111111111,plight_si_23,0.666666666666667,H,0.111111111111111,O,0.222222222222222,Si",plight_si
TAE-PTComp_0460_plight_si_24,TAE-PTComp,0.103615646755099,65.0198,650.198,10,"-0.1,plight_si_24,0.8,H,0.2,Si",plight_si
TAE-PTComp_0461_plight_si_25,TAE-PTComp,0.111385768484782,69.895625,559.165,8,"-0.125,plight_si_25,0.75,H,0.125,O,0.125,Si",plight_si
TAE-PTComp_0462_plight_si_26,TAE-PTComp,0.117309108413038,73.6125769230769,1913.927,26,"-0.0384615384615385,plight_si_26,0.615384615384615,H,0.384615384615385,Si",plight_si
TAE-PTComp_0463_plight_si_27,TAE-PTComp,0.158269943313879,99.3158888888889,893.843,9,"-0.111111111111111,plight_si_27,0.444444444444444,H,0.222222222222222,C,0.222222222222222,N,0.111111111111111,Si",plight_si
TAE-PTComp_0464_plight_si_28,TAE-PTComp,0.155249384250194,97.4204594594595,3604.557,37,"-0.027027027027027,plight_si_28,0.648648648648649,H,0.324324324324324,C,0.027027027027027,Si",plight_si
TAE-PTComp_0465_plight_si_29,TAE-PTComp,0.153341907934802,96.2235,192.447,2,"-0.5,plight_si_29,0.5,O,0.5,Si",plight_si
TAE-PTComp_0466_plight_si_30,TAE-PTComp,0.170411371333729,106.93475,427.739,4,"-0.25,plight_si_30,0.25,O,0.5,F,0.25,Si",plight_si
TAE-PTComp_0467_plight_si_31,TAE-PTComp,0.121957786822149,76.5296666666667,229.589,3,"-0.333333333333333,plight_si_31,0.333333333333333,Si,0.666666666666667,S",plight_si
TAE-PTComp_0468_plight_si_32,TAE-PTComp,0.117433729407514,73.6907777777778,663.217,9,"-0.111111111111111,plight_si_32,0.444444444444444,H,0.111111111111111,Si,0.444444444444444,S",plight_si
TAE-PTComp_0469_plight_si_33,TAE-PTComp,0.16482068038249,103.426538461538,1344.545,13,"-0.0769230769230769,plight_si_33,0.307692307692308,H,0.307692307692308,C,0.307692307692308,O,0.0769230769230769,Si",plight_si
TAE-PTComp_0470_plight_si_34,TAE-PTComp,0.144409869047646,90.6185609756098,3715.361,41,"-0.024390243902439,plight_si_34,0.658536585365854,H,0.219512195121951,C,0.0975609756097561,Si,0.024390243902439,Cl",plight_si
TAE-PTComp_0471_plight_si_35,TAE-PTComp,0.119220698235284,74.8121176470588,1271.806,17,"-0.0588235294117647,plight_si_35,0.705882352941177,H,0.0588235294117647,N,0.0588235294117647,Si_cation,0.176470588235294,Si",plight_si
TAE-PTComp_0472_plight_si_36,TAE-PTComp,0.113469203164318,71.203,284.812,4,"-0.25,plight_si_36,0.25,Si_cation,0.75,Cl",plight_si
TAE-PTComp_0473_plight_si_37,TAE-PTComp,0.106771694722274,67.00025,536.002,8,"-0.125,plight_si_37,0.75,H,0.125,Si_cation,0.125,P",plight_si
TAE-PTComp_0474_plight_p_1,TAE-PTComp,0.122654124250338,76.966625,1231.466,16,"-0.0625,plight_p_1,0.375,H,0.125,B,0.125,N,0.0625,Si,0.25,P,0.0625,Cl_anion",plight_p
TAE-PTComp_0475_plight_p_2,TAE-PTComp,0.101922498347654,63.9573333333333,191.872,3,"-0.333333333333333,plight_p_2,0.333333333333333,P_anion,0.666666666666667,P",plight_p
TAE-PTComp_0476_plight_p_3,TAE-PTComp,0.0814801585345148,51.1295714285714,357.907,7,"-0.142857142857143,plight_p_3,0.142857142857143,P,0.142857142857143,Cl_anion,0.714285714285714,Cl",plight_p
TAE-PTComp_0477_plight_p_4,TAE-PTComp,0.138055817344715,86.6313333333333,259.894,3,"-0.333333333333333,plight_p_4,0.333333333333333,C,0.333333333333333,P,0.333333333333333,S_anion",plight_p
TAE-PTComp_0478_plight_p_5,TAE-PTComp,0.0986356422624722,61.8948,309.474,5,"-0.2,plight_p_5,0.2,H_anion,0.4,H,0.2,N,0.2,P",plight_p
TAE-PTComp_0479_plight_p_6,TAE-PTComp,0.160090013222491,100.458,1205.496,12,"-0.0833333333333333,plight_p_6,0.416666666666667,H,0.166666666666667,C,0.0833333333333333,N,0.0833333333333333,O_anion,0.166666666666667,O,0.0833333333333333,P",plight_p
TAE-PTComp_0480_plight_p_7,TAE-PTComp,0.125927182403072,79.0205,632.164,8,"-0.125,plight_p_7,0.5,H,0.125,C,0.125,N,0.125,O,0.125,P",plight_p
TAE-PTComp_0481_plight_p_8,TAE-PTComp,0.160120659403984,100.477230769231,1306.204,13,"-0.0769230769230769,plight_p_8,0.307692307692308,H,0.538461538461538,O,0.153846153846154,P",plight_p
TAE-PTComp_0482_plight_p_9,TAE-PTComp,0.108939590278004,68.360625,546.885,8,"-0.125,plight_p_9,0.75,H,0.125,B,0.125,P",plight_p
TAE-PTComp_0483_plight_p_10,TAE-PTComp,0.140460960314474,88.1405833333333,1057.687,12,"-0.0833333333333333,plight_p_10,0.5,H,0.0833333333333333,C,0.25,O,0.166666666666667,P",plight_p
TAE-PTComp_0484_plight_p_11,TAE-PTComp,0.151693896390934,95.1893571428571,1332.651,14,"-0.0714285714285714,plight_p_11,0.5,H,0.142857142857143,C,0.285714285714286,O,0.0714285714285714,P",plight_p
TAE-PTComp_0485_plight_p_12,TAE-PTComp,0.118974413159321,74.6575714285714,522.603,7,"-0.142857142857143,plight_p_12,0.428571428571429,H,0.142857142857143,C,0.142857142857143,F,0.285714285714286,P",plight_p
TAE-PTComp_0486_plight_p_13,TAE-PTComp,0.11690748679944,73.3605555555555,660.245,9,"-0.111111111111111,plight_p_13,0.333333333333333,H,0.111111111111111,O,0.111111111111111,F,0.444444444444444,P",plight_p
TAE-PTComp_0487_plight_p_14,TAE-PTComp,0.127053991419604,79.7275833333333,956.731,12,"-0.0833333333333333,plight_p_14,0.333333333333333,H,0.0833333333333333,C,0.0833333333333333,O,0.25,F,0.25,P",plight_p
TAE-PTComp_0488_plight_p_15,TAE-PTComp,0.110385425022339,69.2679,692.679,10,"-0.1,plight_p_15,1,P",plight_p
TAE-PTComp_0489_plight_p_16,TAE-PTComp,0.0983116630901999,61.6915,370.149,6,"-0.166666666666667,plight_p_16,0.666666666666667,H,0.333333333333333,P",plight_p
TAE-PTComp_0490_plight_p_17,TAE-PTComp,0.132445490363453,83.1108,831.108,10,"-0.1,plight_p_17,0.6,H,0.2,C,0.2,P",plight_p
TAE-PTComp_0491_plight_p_18,TAE-PTComp,0.169177183934614,106.160285714286,1486.244,14,"-0.0714285714285714,plight_p_18,0.571428571428571,O,0.285714285714286,P,0.142857142857143,S",plight_p
TAE-PTComp_0492_plight_p_19,TAE-PTComp,0.108069483893052,67.814625,1085.034,16,"-0.0625,plight_p_19,0.375,H,0.625,P",plight_p
TAE-PTComp_0493_plight_p_20,TAE-PTComp,0.117656390941718,73.8305,738.305,10,"-0.1,plight_p_20,0.4,P,0.6,S",plight_p
TAE-PTComp_0494_plight_p_21,TAE-PTComp,0.151560722833199,95.1057894736842,1807.01,19,"-0.0526315789473684,plight_p_21,0.578947368421053,H,0.263157894736842,C,0.105263157894737,O,0.0526315789473684,P",plight_p
TAE-PTComp_0495_plight_p_22,TAE-PTComp,0.145397804768164,91.2385,364.954,4,"-0.25,plight_p_22,0.75,F,0.25,P",plight_p
TAE-PTComp_0496_plight_p_23,TAE-PTComp,0.169116171765287,106.122,1485.708,14,"-0.0714285714285714,plight_p_23,0.5,H,0.428571428571429,C,0.0714285714285714,P",plight_p
TAE-PTComp_0497_plight_p_24,TAE-PTComp,0.140995480796682,88.476,353.904,4,"-0.25,plight_p_24,0.25,H,0.5,O,0.25,P",plight_p
TAE-PTComp_0498_plight_p_25,TAE-PTComp,0.126186939437408,79.1835,791.835,10,"-0.1,plight_p_25,0.6,H,0.3,N,0.1,P",plight_p
TAE-PTComp_0499_plight_p_26,TAE-PTComp,0.108534018712125,68.106125,544.849,8,"-0.125,plight_p_26,0.5,H,0.25,F,0.25,P",plight_p
