Reaction,Dataset,Reference,Reference_in_kcal_mol,Stoichiometry,Reference_Uncertainty_kcal_mol
H2X100_088_H2Te_4_P_2H4C,H2X100,-0.002539138290109354,-1.593333333,"0.1666666667,H2Te_4_P_2H4C,-0.1666666667,H2Te_4_P_2H4C_mon1,-0.1666666667,H2Te_4_P_2H4C_mon2,-0.1666666667,H2Te_4_P_2H4C_mon3,-0.1666666667,H2Te_4_P_2H4C_mon4",0.03666666667
H2X100_089_H2Te_4_B_1H4C_III,H2X100,-0.002517890271472015,-1.58,"0.1666666667,H2Te_4_B_1H4C_III,-0.1666666667,H2Te_4_B_1H4C_III_mon1,-0.1666666667,H2Te_4_B_1H4C_III_mon2,-0.1666666667,H2Te_4_B_1H4C_III_mon3,-0.1666666667,H2Te_4_B_1H4C_III_mon4",0.035
H2X100_090_H2Te_4_B_2H2C_I,H2X100,-0.002515234268544747,-1.578333333,"0.1666666667,H2Te_4_B_2H2C_I,-0.1666666667,H2Te_4_B_2H2C_I_mon1,-0.1666666667,H2Te_4_B_2H2C_I_mon2,-0.1666666667,H2Te_4_B_2H2C_I_mon3,-0.1666666667,H2Te_4_B_2H2C_I_mon4",0.03666666667
H2X100_091_H2Te_4_R_4C,H2X100,-0.002451490211039126,-1.538333333,"0.1666666667,H2Te_4_R_4C,-0.1666666667,H2Te_4_R_4C_mon1,-0.1666666667,H2Te_4_R_4C_mon2,-0.1666666667,H2Te_4_R_4C_mon3,-0.1666666667,H2Te_4_R_4C_mon4",0.025
H2X100_092_H2Te_4_B_2H3C_I,H2X100,-0.002448834209705459,-1.536666667,"0.1666666667,H2Te_4_B_2H3C_I,-0.1666666667,H2Te_4_B_2H3C_I_mon1,-0.1666666667,H2Te_4_B_2H3C_I_mon2,-0.1666666667,H2Te_4_B_2H3C_I_mon3,-0.1666666667,H2Te_4_B_2H3C_I_mon4",0.03666666667
H2X100_093_H2Te_4_B_1H3C_I,H2X100,-0.002446178206778191,-1.535,"0.1666666667,H2Te_4_B_1H3C_I,-0.1666666667,H2Te_4_B_1H3C_I_mon1,-0.1666666667,H2Te_4_B_1H3C_I_mon2,-0.1666666667,H2Te_4_B_1H3C_I_mon3,-0.1666666667,H2Te_4_B_1H3C_I_mon4",0.03666666667
H2X100_094_H2Te_4_B_1H3C_II,H2X100,-0.002424930188140852,-1.521666667,"0.1666666667,H2Te_4_B_1H3C_II,-0.1666666667,H2Te_4_B_1H3C_II_mon1,-0.1666666667,H2Te_4_B_1H3C_II_mon2,-0.1666666667,H2Te_4_B_1H3C_II_mon3,-0.1666666667,H2Te_4_B_1H3C_II_mon4",0.03333333333
H2X100_095_H2Te_4_P_3H3C,H2X100,-0.002422274185213584,-1.52,"0.1666666667,H2Te_4_P_3H3C,-0.1666666667,H2Te_4_P_3H3C_mon1,-0.1666666667,H2Te_4_P_3H3C_mon2,-0.1666666667,H2Te_4_P_3H3C_mon3,-0.1666666667,H2Te_4_P_3H3C_mon4",0.03833333333
H2X100_096_H2Te_4_B_2H3C_II,H2X100,-0.002324002096027885,-1.458333333,"0.1666666667,H2Te_4_B_2H3C_II,-0.1666666667,H2Te_4_B_2H3C_II_mon1,-0.1666666667,H2Te_4_B_2H3C_II_mon2,-0.1666666667,H2Te_4_B_2H3C_II_mon3,-0.1666666667,H2Te_4_B_2H3C_II_mon4",0.035
H2X100_097_H2Te_4_B_2H2C_II,H2X100,-0.002257602037188598,-1.416666667,"0.1666666667,H2Te_4_B_2H2C_II,-0.1666666667,H2Te_4_B_2H2C_II_mon1,-0.1666666667,H2Te_4_B_2H2C_II_mon2,-0.1666666667,H2Te_4_B_2H2C_II_mon3,-0.1666666667,H2Te_4_B_2H2C_II_mon4",0.03666666667
H2X100_098_H2Te_4_F_2H3C,H2X100,-0.002244322024145859,-1.408333333,"0.1666666667,H2Te_4_F_2H3C,-0.1666666667,H2Te_4_F_2H3C_mon1,-0.1666666667,H2Te_4_F_2H3C_mon2,-0.1666666667,H2Te_4_F_2H3C_mon3,-0.1666666667,H2Te_4_F_2H3C_mon4",0.03166666667
H2X100_099_H2Te_4_B_4H2C,H2X100,-0.002228386009769454,-1.398333333,"0.1666666667,H2Te_4_B_4H2C,-0.1666666667,H2Te_4_B_4H2C_mon1,-0.1666666667,H2Te_4_B_4H2C_mon2,-0.1666666667,H2Te_4_B_4H2C_mon3,-0.1666666667,H2Te_4_B_4H2C_mon4",0.04333333333
H2X100_100_H2Te_4_B_4H1C,H2X100,-0.002082305879048141,-1.306666667,"0.1666666667,H2Te_4_B_4H1C,-0.1666666667,H2Te_4_B_4H1C_mon1,-0.1666666667,H2Te_4_B_4H1C_mon2,-0.1666666667,H2Te_4_B_4H1C_mon3,-0.1666666667,H2Te_4_B_4H1C_mon4",0.04333333333
