Reaction,Dataset,Reference,Reference_in_kcal_mol,Stoichiometry,Reference_Method,Source
atmospheric218_081_1sa1eda-conf48,atmospheric218,-0.03880753266133356,-24.35209441,"1,1sa1eda-conf48,-1,1sa-1sa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_082_1sa1eda-conf46,atmospheric218,-0.03672765719499318,-23.04695285,"1,1sa1eda-conf46,-1,1sa-1sa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_083_1sa1eda-conf45,atmospheric218,-0.04051365786621349,-25.42270414,"1,1sa1eda-conf45,-1,1sa-1sa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_084_1sa1eda-conf43,atmospheric218,-0.03549954056591659,-22.27629803,"1,1sa1eda-conf43,-1,1sa-1sa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_085_1sa1eda-conf39,atmospheric218,-0.03244113026403959,-20.35711659,"1,1sa1eda-conf39,-1,1sa-1sa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_086_1sa1eda-conf37,atmospheric218,-0.03880934162206949,-24.35322955,"1,1sa1eda-conf37,-1,1sa-1sa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_087_1sa1eda-conf36,atmospheric218,-0.03584446082440855,-22.49273876,"1,1sa1eda-conf36,-1,1sa-1sa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_088_1sa1eda-conf31,atmospheric218,-0.03878334203055040,-24.33691456,"1,1sa1eda-conf31,-1,1sa-1sa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_089_1sa1eda-conf25,atmospheric218,-0.03866797685601166,-24.26452182,"1,1sa1eda-conf25,-1,1sa-1sa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_090_1sa1eda-conf20,atmospheric218,-0.03352067598884546,-21.03454176,"1,1sa1eda-conf20,-1,1sa-1sa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_091_1sa1eda-conf1,atmospheric218,-0.04042250953720157,-25.3655077,"1,1sa1eda-conf1,-1,1sa-1sa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_092_1sa1eda-conf19,atmospheric218,-0.04055455375872302,-25.4483667,"1,1sa1eda-conf19,-1,1sa-1sa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_093_1sa1eda-conf14,atmospheric218,-0.03359131810953405,-21.07887036,"1,1sa1eda-conf14,-1,1sa-1sa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_094_1sa1eda-conf13,atmospheric218,-0.03510186126334895,-22.0267505,"1,1sa1eda-conf13,-1,1sa-1sa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_095_1sa1eda-conf10,atmospheric218,-0.03951208446218102,-24.79420734,"1,1sa1eda-conf10,-1,1sa-1sa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_096_1sa1dma-conf6,atmospheric218,-0.03258023836297360,-20.44440824,"1,1sa1dma-conf6,-1,1sa-1sa-1,-1,1dma-1dma-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_097_1sa1dma-conf3,atmospheric218,-0.03727935184552715,-23.39314647,"1,1sa1dma-conf3,-1,1sa-1sa-1,-1,1dma-1dma-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_098_1sa1dma-conf1,atmospheric218,-0.03919465111936592,-24.59501491,"1,1sa1dma-conf1,-1,1sa-1sa-1,-1,1dma-1dma-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_099_1sa1dma-conf12,atmospheric218,-0.03672509050864569,-23.04534223,"1,1sa1dma-conf12,-1,1sa-1sa-1,-1,1dma-1dma-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_100_1sa1dma-conf10,atmospheric218,-0.03470570036016710,-21.77815578,"1,1sa1dma-conf10,-1,1sa-1sa-1,-1,1dma-1dma-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_101_1sa1a-1sa1am-3,atmospheric218,-0.02356243610835621,-14.78565189,"1,1sa1a-1sa1am-3,-1,1sa-1sa-1,-1,1a-1am",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_102_1sa1a-1sa1am-2,atmospheric218,-0.02604631333160793,-16.34430838,"1,1sa1a-1sa1am-2,-1,1sa-1sa-1,-1,1a-1am",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_103_1na1w-conf5,atmospheric218,-0.004319127600498129,-2.710293489,"1,1na1w-conf5,-1,1na-1nta-1,-1,1w-1w-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_104_1na1w-conf4,atmospheric218,-0.01627396605485053,-10.21206788,"1,1na1w-conf4,-1,1na-1nta-1,-1,1w-1w-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_105_1na1tma-conf1,atmospheric218,-0.02583473847021125,-16.21154315,"1,1na1tma-conf1,-1,1na-1nta-1,-1,1tma-1tma-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_106_1na1ma-conf1,atmospheric218,-0.02436949338945325,-15.29208798,"1,1na1ma-conf1,-1,1na-1nta-1,-1,1ma-1ma-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_107_1na1fa-conf7,atmospheric218,-0.008442822452856318,-5.297951077,"1,1na1fa-conf7,-1,1na-1nta-1,-1,1fa-1fa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_108_1na1fa-conf5,atmospheric218,-0.01130109562184379,-7.09154457,"1,1na1fa-conf5,-1,1na-1nta-1,-1,1fa-1fa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_109_1na1fa-conf4,atmospheric218,-0.009708910505448987,-6.092433325,"1,1na1fa-conf4,-1,1na-1nta-1,-1,1fa-1fa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_110_1na1fa-conf3,atmospheric218,-0.01345709503527091,-8.444454628,"1,1na1fa-conf3,-1,1na-1nta-1,-1,1fa-1fa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_111_1na1fa-conf2,atmospheric218,-0.01695816455343261,-10.64140892,"1,1na1fa-conf2,-1,1na-1nta-1,-1,1fa-1fa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_112_1na1fa-conf1,atmospheric218,-0.02209711778567613,-13.86615076,"1,1na1fa-conf1,-1,1na-1nta-1,-1,1fa-1fa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_113_1na1fa-conf18,atmospheric218,-0.0008396366129557734,-0.5268799294,"1,1na1fa-conf18,-1,1na-1nta-1,-1,1fa-1fa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_114_1na1eda-conf8,atmospheric218,-0.02663560900806303,-16.714097,"1,1na1eda-conf8,-1,1na-1nta-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_115_1na1eda-conf7,atmospheric218,-0.02280670009224577,-14.31142038,"1,1na1eda-conf7,-1,1na-1nta-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_116_1na1eda-conf5,atmospheric218,-0.02245888647504762,-14.09316404,"1,1na1eda-conf5,-1,1na-1nta-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_117_1na1eda-conf4,atmospheric218,-0.02669768961658000,-16.75305317,"1,1na1eda-conf4,-1,1na-1nta-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_118_1na1eda-conf40,atmospheric218,-0.02228490717351914,-13.98399038,"1,1na1eda-conf40,-1,1na-1nta-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_119_1na1eda-conf37,atmospheric218,-0.02168560446090036,-13.60792225,"1,1na1eda-conf37,-1,1na-1nta-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_120_1na1eda-conf36,atmospheric218,-0.02181511034624390,-13.68918842,"1,1na1eda-conf36,-1,1na-1nta-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_121_1na1eda-conf30,atmospheric218,-0.02270833214315280,-14.24969356,"1,1na1eda-conf30,-1,1na-1nta-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_122_1na1eda-conf2,atmospheric218,-0.02592617152799204,-16.26891826,"1,1na1eda-conf2,-1,1na-1nta-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_123_1na1eda-conf29,atmospheric218,-0.02198012857191229,-13.79273892,"1,1na1eda-conf29,-1,1na-1nta-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_124_1na1eda-conf25,atmospheric218,-0.02211533131148315,-13.87757992,"1,1na1eda-conf25,-1,1na-1nta-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_125_1na1eda-conf21,atmospheric218,-0.02212135432811671,-13.88135942,"1,1na1eda-conf21,-1,1na-1nta-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_126_1na1eda-conf20,atmospheric218,-0.02239900647075589,-14.05558877,"1,1na1eda-conf20,-1,1na-1nta-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_127_1na1eda-conf1,atmospheric218,-0.02658492990071173,-16.68229538,"1,1na1eda-conf1,-1,1na-1nta-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_128_1na1eda-conf17,atmospheric218,-0.02456677809210230,-15.415886,"1,1na1eda-conf17,-1,1na-1nta-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_129_1na1eda-conf16,atmospheric218,-0.02598156658007774,-16.30367918,"1,1na1eda-conf16,-1,1na-1nta-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_130_1na1eda-conf14,atmospheric218,-0.02246625272239695,-14.09778643,"1,1na1eda-conf14,-1,1na-1nta-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_131_1na1dma-conf5,atmospheric218,-0.02555644488705742,-16.03691129,"1,1na1dma-conf5,-1,1na-1nta-1,-1,1dma-1dma-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_132_1na1dma-conf2,atmospheric218,-0.02615069342897266,-16.40980788,"1,1na1dma-conf2,-1,1na-1nta-1,-1,1dma-1dma-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_133_1na1a-conf1,atmospheric218,-0.02146913402401523,-13.472085,"1,1na1a-conf1,-1,1na-1nta-1,-1,1a-1am",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_134_1msa1w-conf7,atmospheric218,-0.01019656614834886,-6.398441861,"1,1msa1w-conf7,-1,1msa-1msa-1,-1,1w-1w-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_135_1msa1w-conf6,atmospheric218,-0.01036481139302445,-6.504017346,"1,1msa1w-conf6,-1,1msa-1msa-1,-1,1w-1w-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_136_1msa1w-conf5,atmospheric218,-0.009577245844730746,-6.009812503,"1,1msa1w-conf5,-1,1msa-1msa-1,-1,1w-1w-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_137_1msa1w-conf1,atmospheric218,-0.02036172507048902,-12.77717539,"1,1msa1w-conf1,-1,1msa-1msa-1,-1,1w-1w-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_138_1msa1tma-conf2,atmospheric218,-0.03611196453062848,-22.66059987,"1,1msa1tma-conf2,-1,1msa-1msa-1,-1,1tma-1tma-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_139_1msa1tma-conf1,atmospheric218,-0.03610491827844782,-22.65617828,"1,1msa1tma-conf1,-1,1msa-1msa-1,-1,1tma-1tma-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_140_1msa1na-conf6,atmospheric218,-0.01673158144054449,-10.49922587,"1,1msa1na-conf6,-1,1msa-1msa-1,-1,1na-1nta-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_141_1msa1na-conf5,atmospheric218,-0.01285049133806247,-8.063805061,"1,1msa1na-conf5,-1,1msa-1msa-1,-1,1na-1nta-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_142_1msa1na-conf1,atmospheric218,-0.02325425606009680,-14.59226599,"1,1msa1na-conf1,-1,1msa-1msa-1,-1,1na-1nta-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_143_1msa1ma-conf4,atmospheric218,-0.02741250166092356,-17.2016045,"1,1msa1ma-conf4,-1,1msa-1msa-1,-1,1ma-1ma-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_144_1msa1ma-conf3,atmospheric218,-0.02858818673101991,-17.93935802,"1,1msa1ma-conf3,-1,1msa-1msa-1,-1,1ma-1ma-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_145_1msa1fa-conf6,atmospheric218,-0.01130737066813832,-7.095482221,"1,1msa1fa-conf6,-1,1msa-1msa-1,-1,1fa-1fa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_146_1msa1fa-conf5,atmospheric218,-0.01460333244638555,-9.163729463,"1,1msa1fa-conf5,-1,1msa-1msa-1,-1,1fa-1fa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_147_1msa1fa-conf2,atmospheric218,-0.01969104657495178,-12.35631828,"1,1msa1fa-conf2,-1,1msa-1msa-1,-1,1fa-1fa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_148_1msa1fa-conf1,atmospheric218,-0.02875566302316181,-18.04445098,"1,1msa1fa-conf1,-1,1msa-1msa-1,-1,1fa-1fa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_149_1msa1eda-conf5,atmospheric218,-0.03129195322400101,-19.63599711,"1,1msa1eda-conf5,-1,1msa-1msa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_150_1msa1eda-conf55,atmospheric218,-0.02779053013667554,-17.43882095,"1,1msa1eda-conf55,-1,1msa-1msa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_151_1msa1eda-conf53,atmospheric218,-0.02673763334816656,-16.77811824,"1,1msa1eda-conf53,-1,1msa-1msa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_152_1msa1eda-conf51,atmospheric218,-0.02993370423298371,-18.783683,"1,1msa1eda-conf51,-1,1msa-1msa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_153_1msa1eda-conf48,atmospheric218,-0.03387199058904197,-21.254995,"1,1msa1eda-conf48,-1,1msa-1msa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_154_1msa1eda-conf47,atmospheric218,-0.02896668378933862,-18.17686851,"1,1msa1eda-conf47,-1,1msa-1msa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_155_1msa1eda-conf46,atmospheric218,-0.03539456336202918,-22.21042384,"1,1msa1eda-conf46,-1,1msa-1msa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_156_1msa1eda-conf37,atmospheric218,-0.03290372485742546,-20.64739908,"1,1msa1eda-conf37,-1,1msa-1msa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_157_1msa1eda-conf36,atmospheric218,-0.02978678109666350,-18.69148734,"1,1msa1eda-conf36,-1,1msa-1msa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_158_1msa1eda-conf2,atmospheric218,-0.03709734037841659,-23.27893255,"1,1msa1eda-conf2,-1,1msa-1msa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_159_1msa1eda-conf29,atmospheric218,-0.02817531003240620,-17.68027398,"1,1msa1eda-conf29,-1,1msa-1msa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_160_1msa1eda-conf25,atmospheric218,-0.03739870099178796,-23.46803919,"1,1msa1eda-conf25,-1,1msa-1msa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
